offline_datapoint_12 1631449792 19,968
offline_datapoint_24 1631449792 2,604
offline_datapoint_13 1631449792 8718,806
offline_datapoint_18 1631449794 0,000
offline_datapoint_0 1631449792 12024,732
offline_datapoint_16 1631449792 270,661
offline_datapoint_28 1631449792 0,233
offline_datapoint_17 1631449792 22,333
offline_datapoint_10 1631449792 99,725
offline_datapoint_29 1631449792 0,000
offline_datapoint_22 1631449792 7030,448
offline_datapoint_4 1631449792 0,005
offline_datapoint_11 1631449797 625961,000
offline_datapoint_5 1631449797 2619,000
offline_datapoint_26 1631449797 877875200,000
offline_datapoint_14 1631449797 464175104,000
offline_datapoint_3 1631449797 11863220224,000
offline_datapoint_9 1631449797 981921792,000
offline_datapoint_25 1631449797 8919,000
offline_datapoint_19 1631449795 23,743
offline_datapoint_8 1631449795 6418,730
offline_datapoint_21 1631449797 981921792,000
offline_datapoint_1 1631449795 4,682
offline_datapoint_20 1631449797 7987683328,000
offline_datapoint_7 1631449797 7749218304,000
offline_datapoint_6 1631449795 0,348
offline_datapoint_12 1631449795 20,570
offline_datapoint_24 1631449795 1,916
offline_datapoint_13 1631449795 11798,772
offline_datapoint_18 1631449797 0,000
offline_datapoint_0 1631449795 15434,848
offline_datapoint_16 1631449795 864,124
offline_datapoint_28 1631449795 1,076
offline_datapoint_17 1631449795 85,610
offline_datapoint_10 1631449795 98,593
offline_datapoint_29 1631449795 3,344
offline_datapoint_22 1631449795 6936,000
offline_datapoint_4 1631449795 0,022
offline_datapoint_11 1631449800 625961,000
offline_datapoint_5 1631449800 2610,000
offline_datapoint_26 1631449800 877875200,000
offline_datapoint_14 1631449800 464175104,000
offline_datapoint_3 1631449800 11871092736,000
offline_datapoint_9 1631449800 981307392,000
offline_datapoint_25 1631449800 8929,000
offline_datapoint_19 1631449798 0,000
offline_datapoint_8 1631449798 4187,542
offline_datapoint_21 1631449800 981307392,000
offline_datapoint_1 1631449798 0,000
offline_datapoint_20 1631449800 7995756544,000
offline_datapoint_7 1631449800 7741788160,000
offline_datapoint_6 1631449798 0,606
offline_datapoint_12 1631449798 22,391
offline_datapoint_24 1631449798 3,288
offline_datapoint_13 1631449798 11403,353
offline_datapoint_18 1631449800 0,000
offline_datapoint_0 1631449798 14737,970
offline_datapoint_16 1631449798 438,923
offline_datapoint_28 1631449798 0,197
offline_datapoint_17 1631449798 22,594
offline_datapoint_10 1631449798 99,257
offline_datapoint_29 1631449798 0,000
offline_datapoint_22 1631449798 6422,588
offline_datapoint_4 1631449798 0,004
offline_datapoint_11 1631449803 625961,000
offline_datapoint_5 1631449803 2620,000
offline_datapoint_26 1631449803 877879296,000
offline_datapoint_14 1631449803 464175104,000
offline_datapoint_3 1631449803 11878346752,000
offline_datapoint_9 1631449803 981905408,000
offline_datapoint_25 1631449803 8913,000
offline_datapoint_19 1631449801 6,666
offline_datapoint_8 1631449801 7568,306
offline_datapoint_21 1631449803 981905408,000
offline_datapoint_1 1631449801 2,000
offline_datapoint_20 1631449803 8003436544,000
offline_datapoint_7 1631449803 7753060352,000
offline_datapoint_6 1631449801 0,608
offline_datapoint_12 1631449801 27,086
offline_datapoint_24 1631449801 4,514
offline_datapoint_13 1631449801 12916,384
offline_datapoint_18 1631449803 0,000
offline_datapoint_0 1631449801 17036,521
offline_datapoint_16 1631449801 990,286
offline_datapoint_28 1631449801 0,661
offline_datapoint_17 1631449801 71,330
offline_datapoint_10 1631449801 99,317
offline_datapoint_29 1631449801 0,667
offline_datapoint_22 1631449801 5301,832
offline_datapoint_4 1631449801 0,013
offline_datapoint_11 1631449806 625961,000
offline_datapoint_5 1631449806 2620,000
offline_datapoint_26 1631449806 877842432,000
offline_datapoint_14 1631449806 464175104,000
offline_datapoint_3 1631449806 11877629952,000
offline_datapoint_9 1631449806 981721088,000
offline_datapoint_25 1631449806 8920,000
offline_datapoint_19 1631449804 2,667
offline_datapoint_8 1631449804 3062,114
offline_datapoint_21 1631449806 981721088,000
offline_datapoint_1 1631449804 0,333
offline_datapoint_20 1631449806 8002109440,000
offline_datapoint_7 1631449806 7754043392,000
offline_datapoint_6 1631449804 0,608
offline_datapoint_12 1631449804 24,036
offline_datapoint_24 1631449804 3,733
offline_datapoint_13 1631449804 11727,436
offline_datapoint_18 1631449806 0,000
offline_datapoint_0 1631449804 15431,574
offline_datapoint_16 1631449804 525,686
offline_datapoint_28 1631449804 0,646
offline_datapoint_17 1631449804 47,335
offline_datapoint_10 1631449804 99,325
offline_datapoint_29 1631449804 0,000
offline_datapoint_22 1631449804 5509,408
offline_datapoint_4 1631449804 0,013
offline_datapoint_11 1631449809 625961,000
offline_datapoint_5 1631449809 2617,000
offline_datapoint_26 1631449809 877842432,000
offline_datapoint_14 1631449809 464175104,000
offline_datapoint_3 1631449809 11909713920,000
offline_datapoint_9 1631449809 983670784,000
offline_datapoint_25 1631449809 8902,000
offline_datapoint_19 1631449807 0,000
offline_datapoint_8 1631449807 8319,106
offline_datapoint_21 1631449809 983670784,000
offline_datapoint_1 1631449807 0,000
offline_datapoint_20 1631449809 8034131968,000
offline_datapoint_7 1631449809 7763070976,000
offline_datapoint_6 1631449807 0,434
offline_datapoint_12 1631449807 23,006
offline_datapoint_24 1631449807 2,951
offline_datapoint_13 1631449807 14552,102
offline_datapoint_18 1631449809 0,000
offline_datapoint_0 1631449807 18963,001
offline_datapoint_16 1631449807 669,369
offline_datapoint_28 1631449807 0,344
offline_datapoint_17 1631449807 27,335
offline_datapoint_10 1631449807 99,429
offline_datapoint_29 1631449807 0,000
offline_datapoint_22 1631449807 6144,000
offline_datapoint_4 1631449807 0,007
offline_datapoint_11 1631449812 625961,000
offline_datapoint_5 1631449812 2603,000
offline_datapoint_26 1631449812 877846528,000
offline_datapoint_14 1631449812 464179200,000
offline_datapoint_3 1631449812 11920326656,000
offline_datapoint_9 1631449812 984514560,000
offline_datapoint_25 1631449812 8906,000
offline_datapoint_19 1631449810 7,023
offline_datapoint_8 1631449810 6533,395
offline_datapoint_21 1631449812 984514560,000
offline_datapoint_1 1631449810 2,341
offline_datapoint_20 1631449812 8045117440,000
offline_datapoint_7 1631449812 7769776128,000
offline_datapoint_6 1631449810 0,610
offline_datapoint_12 1631449810 23,622
offline_datapoint_24 1631449810 4,616
offline_datapoint_13 1631449810 12729,369
offline_datapoint_18 1631449812 0,000
offline_datapoint_0 1631449810 17317,158
offline_datapoint_16 1631449810 858,434
offline_datapoint_28 1631449810 1,108
offline_datapoint_17 1631449810 92,632
offline_datapoint_10 1631449810 98,885
offline_datapoint_29 1631449810 4,013
offline_datapoint_22 1631449810 6107,032
offline_datapoint_4 1631449810 0,022
offline_datapoint_11 1631449815 625961,000
offline_datapoint_5 1631449815 2594,000
offline_datapoint_26 1631449815 877846528,000
offline_datapoint_14 1631449815 464179200,000
offline_datapoint_3 1631449815 11920551936,000
offline_datapoint_9 1631449815 985288704,000
offline_datapoint_25 1631449815 8900,000
offline_datapoint_19 1631449813 0,000
offline_datapoint_8 1631449813 2912,606
offline_datapoint_21 1631449815 985288704,000
offline_datapoint_1 1631449813 0,000
offline_datapoint_20 1631449815 8045445120,000
offline_datapoint_7 1631449815 7771516928,000
offline_datapoint_6 1631449813 0,695
offline_datapoint_12 1631449813 22,910
offline_datapoint_24 1631449813 3,299
offline_datapoint_13 1631449813 9894,591
offline_datapoint_18 1631449815 0,000
offline_datapoint_0 1631449813 13653,943
offline_datapoint_16 1631449813 296,028
offline_datapoint_28 1631449813 0,178
offline_datapoint_17 1631449813 22,335
offline_datapoint_10 1631449813 99,788
offline_datapoint_29 1631449813 0,000
offline_datapoint_22 1631449813 4585,075
offline_datapoint_4 1631449813 0,004
offline_datapoint_11 1631449818 625961,000
offline_datapoint_5 1631449818 2584,000
offline_datapoint_26 1631449818 877854720,000
offline_datapoint_14 1631449818 464179200,000
offline_datapoint_3 1631449818 11919286272,000
offline_datapoint_9 1631449818 984735744,000
offline_datapoint_25 1631449818 8899,000
offline_datapoint_19 1631449816 4,333
offline_datapoint_8 1631449816 4708,054
offline_datapoint_21 1631449818 984735744,000
offline_datapoint_1 1631449816 1,666
offline_datapoint_20 1631449818 8045088768,000
offline_datapoint_7 1631449818 7773659136,000
offline_datapoint_6 1631449816 0,955
offline_datapoint_12 1631449816 24,834
offline_datapoint_24 1631449816 5,121
offline_datapoint_13 1631449816 11123,886
offline_datapoint_18 1631449818 0,000
offline_datapoint_0 1631449816 14674,425
offline_datapoint_16 1631449816 528,265
offline_datapoint_28 1631449816 1,358
offline_datapoint_17 1631449816 47,660
offline_datapoint_10 1631449816 98,321
offline_datapoint_29 1631449816 0,000
offline_datapoint_22 1631449816 4697,510
offline_datapoint_4 1631449816 0,027
offline_datapoint_11 1631449821 625961,000
offline_datapoint_5 1631449821 2586,000
offline_datapoint_26 1631449821 877641728,000
offline_datapoint_14 1631449821 464179200,000
offline_datapoint_3 1631449821 11913961472,000
offline_datapoint_9 1631449821 982794240,000
offline_datapoint_25 1631449821 8913,000
offline_datapoint_19 1631449819 11,000
offline_datapoint_8 1631449819 6998,185
offline_datapoint_21 1631449821 982794240,000
offline_datapoint_1 1631449819 2,667
offline_datapoint_20 1631449821 8039034880,000
offline_datapoint_7 1631449821 7757885440,000
offline_datapoint_6 1631449819 0,434
offline_datapoint_12 1631449819 25,691
offline_datapoint_24 1631449819 4,080
offline_datapoint_13 1631449819 9912,262
offline_datapoint_18 1631449821 0,000
offline_datapoint_0 1631449819 14083,373
offline_datapoint_16 1631449819 456,345
offline_datapoint_28 1631449819 1,205
offline_datapoint_17 1631449819 55,668
offline_datapoint_10 1631449819 98,800
offline_datapoint_29 1631449819 0,667
offline_datapoint_22 1631449819 6009,102
offline_datapoint_4 1631449819 0,024
offline_datapoint_11 1631449824 625961,000
offline_datapoint_5 1631449824 2593,000
offline_datapoint_26 1631449824 877641728,000
offline_datapoint_14 1631449824 464179200,000
offline_datapoint_3 1631449824 11917090816,000
offline_datapoint_9 1631449824 982597632,000
offline_datapoint_25 1631449824 8913,000
offline_datapoint_19 1631449822 0,000
offline_datapoint_8 1631449822 5447,738
offline_datapoint_21 1631449824 982597632,000
offline_datapoint_1 1631449822 0,000
offline_datapoint_20 1631449824 8041545728,000
offline_datapoint_7 1631449824 7759294464,000
offline_datapoint_6 1631449822 0,955
offline_datapoint_12 1631449822 27,085
offline_datapoint_24 1631449822 4,427
offline_datapoint_13 1631449822 11725,204
offline_datapoint_18 1631449824 0,000
offline_datapoint_0 1631449822 15924,516
offline_datapoint_16 1631449822 516,038
offline_datapoint_28 1631449822 0,201
offline_datapoint_17 1631449822 18,335
offline_datapoint_10 1631449822 99,733
offline_datapoint_29 1631449822 0,000
offline_datapoint_22 1631449822 5436,509
